agent,t,queue_clean,queue_attacked
maxpressure,653,21.17807748686964,192.97503261029877
maxpressure,654,23.442486760427055,195.8887388818768
maxpressure,655,21.745987098500645,195.8907042001983
maxpressure,656,25.29370640434395,196.10887062795996
maxpressure,657,23.436519513771838,194.8491568766619
maxpressure,658,25.26522682852403,197.83791848124076
maxpressure,659,24.605207006169113,197.89198793226987
maxpressure,660,22.79272553187766,198.37512722344684
maxpressure,661,24.105780353897913,197.90289652825746
maxpressure,662,22.18833480138195,198.57943871775447
maxpressure,663,22.970654577505737,200.38393955764457
maxpressure,664,21.913007329072865,199.87085294116423
maxpressure,665,23.43003748722272,199.28360256467175
maxpressure,666,19.987902735131264,201.10728762916213
maxpressure,667,22.59397931349898,201.37736083505902
maxpressure,668,22.207558638459087,199.8182480555741
maxpressure,669,19.96591618514663,202.7110918638025
maxpressure,670,23.03771451070922,202.15406182469576
maxpressure,671,22.20633465413445,200.67129384181897
maxpressure,672,21.192358716697893,205.47345340659365
maxpressure,673,23.80240889377562,205.4855889625853
maxpressure,674,23.638123874937765,204.4018364207349
maxpressure,675,19.64094831215042,204.8600002811667
maxpressure,676,21.945438653670323,206.00242724971426
maxpressure,677,21.453513746789355,208.02505055938008
maxpressure,678,24.15797365440215,207.45577845874038
maxpressure,679,20.601797795421177,205.66416891898427
maxpressure,680,19.407766708976,205.71915465141925
maxpressure,681,22.48086369039972,208.43916236889842
maxpressure,682,21.753803112632248,206.78017329391693
